stock_item,godown,batch_name,unit,quantity
01  DAHI CUP 200,01  CM  56  GODOWN,Primary Batch,NO. =  0.71 CRT,20.0
01  DAHI CUP 200,01  CM  56  GODOWN,Primary Batch,NO. =  2.89 CRT,81.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.04 CRT,5.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.07 CRT,14.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.11 CRT,18.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.14 CRT,16.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.18 CRT,15.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.21 CRT,12.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.25 CRT,14.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.29 CRT,32.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.32 CRT,27.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.36 CRT,220.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.39 CRT,44.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.43 CRT,144.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.50 CRT,14.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.54 CRT,135.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.57 CRT,32.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.61 CRT,17.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.64 CRT,18.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.71 CRT,400.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.75 CRT,63.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.82 CRT,23.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.86 CRT,24.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.89 CRT,50.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.93 CRT,104.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  0.96 CRT,27.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.04 CRT,29.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.07 CRT,300.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.11 CRT,31.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.14 CRT,64.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.18 CRT,99.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.25 CRT,70.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.32 CRT,37.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.39 CRT,39.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.43 CRT,400.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.79 CRT,600.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.93 CRT,108.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  1.96 CRT,385.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  10.00 CRT,280.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  10.11 CRT,283.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  11.57 CRT,7776.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  12.25 CRT,343.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  13.71 CRT,384.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  14.46 CRT,1620.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  17.36 CRT,486.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.04 CRT,57.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.07 CRT,116.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.14 CRT,240.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.21 CRT,62.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.29 CRT,64.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.32 CRT,260.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.36 CRT,132.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.50 CRT,70.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.54 CRT,71.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.71 CRT,76.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.75 CRT,77.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.79 CRT,78.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.86 CRT,240.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  2.89 CRT,11826.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  22.96 CRT,643.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  23.14 CRT,648.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  28.93 CRT,810.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  3.04 CRT,85.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  3.21 CRT,270.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  3.57 CRT,100.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  3.61 CRT,303.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  3.64 CRT,204.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  3.96 CRT,111.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  4.29 CRT,120.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  4.50 CRT,504.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  4.79 CRT,134.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  5.00 CRT,140.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  5.79 CRT,6480.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  5.89 CRT,165.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  6.57 CRT,184.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  7.14 CRT,200.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  7.29 CRT,204.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  7.82 CRT,219.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  8.32 CRT,233.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  8.36 CRT,234.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  8.68 CRT,27459.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  9.07 CRT,254.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. =  9.86 CRT,276.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.04 CRT,-24.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.07 CRT,-32.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.11 CRT,-63.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.14 CRT,-40.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.18 CRT,-65.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.21 CRT,-60.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.25 CRT,-91.0
01  DAHI CUP 200,Main Store,Primary Batch,NO. = -0.29 CRT,-40.0
