date,voucher_number,voucher_type,guid,master_id,alter_id,party_ledger,reference,is_invoice,ledger_name,amount,is_deemed_positive,is_party_ledger,ledger_from_item,bill_reference,bill_date,bill_type,cost_centre
20260401,8,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447e,17534,33593,02 Rsa Afternoon Milk Counter,,Yes,02 Rsa Afternoon Milk Counter,9228.8,Yes,Yes,No,,,,
20260401,9,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447f,17535,33595,04 GHEE COUNTER,1216,Yes,04 GHEE COUNTER,876.0,Yes,Yes,No,,,,
20260401,1,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044a9,17577,30797,01   Yash Morning  Milk Counter,,Yes,01   Yash Morning  Milk Counter,429.0,Yes,Yes,No,,,,
20260401,10,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b6,17590,35844,09   Pandurang  Sales,,Yes,09   Pandurang  Sales,-2648.0,Yes,Yes,No,,,,
20260401,11,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,04 GHEE COUNTER,1205,Yes,04 GHEE COUNTER,-39710.0,Yes,Yes,No,,,,
20260401,2,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004421,17441,30124,04 GHEE COUNTER,,Yes,04 GHEE COUNTER,-480.0,Yes,Yes,No,,,,
20260401,3,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443e,17470,35786,08  Wadgaonkar  Sales,1209,Yes,08  Wadgaonkar  Sales,-1890.0,Yes,Yes,No,,,,
20260401,4,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000443f,17471,30906,04 GHEE COUNTER,1212,Yes,04 GHEE COUNTER,-4820.0,Yes,Yes,No,,,,
20260401,5,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000446f,17519,30615,09   Pandurang  Sales,1217,Yes,09   Pandurang  Sales,152.0,Yes,Yes,No,,,,
20260401,6,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-0000447b,17531,35759,08  Wadgaonkar  Sales,1218,Yes,08  Wadgaonkar  Sales,2481.0,Yes,Yes,No,,,,
20260401,7,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-00004c64,19556,35770,08  Wadgaonkar  Sales,,Yes,08  Wadgaonkar  Sales,-13766.0,Yes,Yes,No,,,,
20260402,12,Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044ae,17582,30866,04 GHEE COUNTER,1227,Yes,04 GHEE COUNTER,-32499.04,Yes,Yes,No,,,,
