date,voucher_number,voucher_type,party_ledger,guid,master_id,alter_id,stock_item,quantity,unit,billed_quantity,rate,amount,source_godown,destination_godown,batch_name,is_deemed_positive,movement_type
20260401,1,Sales,01   Yash Morning  Milk Counter,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044a9,17577,30797,16  Bm  82,5.50,ltr,-5.50 ltr,78.00/ltr,429.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,10,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b6,17590,35844,01  DAHI CUP 200,81,NO. =  2.89 CRT,81 NO. =  2.89 CRT,18.00/NO.,1458.00,Main Store,Main Store,Primary Batch,No,IN
20260401,10,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b6,17590,35844,05 TAK 500ml Pouch,30,NO.,30 NO.,13.00/NO.,390.00,Main Store,Main Store,Primary Batch,No,IN
20260401,10,Sales,09   Pandurang  Sales,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044b6,17590,35844,10   Lassi  @10,100,NO.,100 NO.,8.00/NO.,800.00,Main Store,Main Store,Primary Batch,No,IN
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,43 Loose  Tak,52.300,KG,52.300 KG,24.00/KG,1255.20,Main Store,Main Store,Primary Batch,No,IN
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,05 TAK 500ml Pouch,50,NO.,50 NO.,18.00/NO.,900.00,Main Store,Main Store,Primary Batch,No,IN
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,05 TAK 500ml Pouch,9,NO.,-9 NO.,18.00/NO.,162.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,02 MAlai Dahi Tray,82.000,KG =  8.20 TRAY,82.000 KG =  8.20 TRAY,120.00/KG,9840.00,Main Store,Main Store,Primary Batch,No,IN
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,02 MAlai Dahi Tray,13.800,KG = -1.38 TRAY,-13.800 KG = -1.38 TRAY,120.00/KG,1656.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,03 Mattha Dahi,50.300,KG,50.300 KG,56.00/KG,2816.80,Main Store,Main Store,Primary Batch,No,IN
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,03 Mattha Dahi,6.000,KG,-6.000 KG,56.00/KG,336.00,Main Store,Main Store,Primary Batch,No,OUT
20260401,11,Sales,04 GHEE COUNTER,ccde5e46-22b1-4fd7-8009-ffe387e3e86a-000044bb,17595,31008,XX PL,23.700,KG,23.700 KG,360.00/KG,8532.00,Main Store,Main Store,Primary Batch,No,IN
